LSOA21CD,LSOA21NM,LSOA21NMW,Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Decile (where 1 is most deprived 10% of LSOAs),,,,,,,,,,,,,,,,,,,,,Indoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Outdoors Sub-domain Score,Outdoors Sub-domain Rank (where 1 is most deprived),Outdoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Total population: mid 2015 (excluding prisoners),Dependent Children aged 0-15: mid 2015 (excluding prisoners),Population aged 16-59: mid 2015 (excluding prisoners),Older population aged 60 and over: mid 2015 (excluding prisoners),Working age population 18-59/64: for use with Employment Deprivation Domain (excluding prisoners)
E01023260,Winchester 008A,,26.24,4,0.138,4,0.083,5,61.643,1,0.226,4,-0.283,7,33.945,2,8.905,8,,,,,,,,,,,,,,,,,,,,,9,0.043,14599,5,1679,294,1209,176,1167
E01023261,Winchester 008B,,25.967,4,0.143,4,0.093,5,51.36,1,0.224,4,0.394,4,30.332,3,7.68,9,,,,,,,,,,,,,,,,,,,,,10,0.17,12575,4,1521,226,1023,272,1029
E01023262,Winchester 008C,,21.125,5,0.099,6,0.054,8,45.823,2,0.392,4,-0.232,7,36.78,1,7.696,9,,,,,,,,,,,,,,,,,,,,,10,0.088,13871,5,1503,256,1043,204,1051
E01023263,Winchester 007C,,7.214,9,0.06,8,0.054,8,1.047,10,-0.714,8,-0.986,9,26.961,3,3.641,10,,,,,,,,,,,,,,,,,,,,,9,-0.724,26506,9,1534,198,888,448,910
E01023264,Winchester 007D,,6.163,9,0.042,9,0.041,9,1.328,10,-1.255,10,0.324,4,14.484,8,16.544,6,,,,,,,,,,,,,,,,,,,,,4,-0.651,25564,8,2087,561,1125,401,949
E01023265,Winchester 007E,,6.066,9,0.058,8,0.048,8,0.435,10,-1.396,10,-0.572,8,20.654,5,12.648,7,,,,,,,,,,,,,,,,,,,,,6,-0.208,18786,6,1824,310,1018,496,1027
E01023266,Winchester 008D,,7.542,9,0.066,7,0.039,9,2.23,10,-0.987,9,-0.148,6,27.497,3,5.523,9,,,,,,,,,,,,,,,,,,,,,9,-0.306,20443,7,1930,297,1309,324,1296
E01023267,Winchester 007F,,8.198,9,0.052,8,0.059,7,0.415,10,-0.63,8,0.098,5,13.345,8,21.942,5,,,,,,,,,,,,,,,,,,,,,4,0.271,11119,4,1296,253,858,185,827
E01023268,Winchester 005D,,2.606,10,0.016,10,0.011,10,0.138,10,-1.712,10,-0.735,9,4.325,10,23.668,4,,,,,,,,,,,,,,,,,,,,,4,0.437,9056,3,1324,296,787,241,763
E01023269,Winchester 005E,,4.116,10,0.015,10,0.019,10,0.209,10,-2.038,10,-0.084,6,25.519,4,6.269,9,,,,,,,,,,,,,,,,,,,,,10,-0.074,16524,6,2247,358,1497,392,1483
E01023270,Winchester 005F,,3.977,10,0.022,10,0.033,10,4.322,9,-0.343,7,-0.589,8,12.316,8,8.146,8,,,,,,,,,,,,,,,,,,,,,7,-0.513,23678,8,1324,292,805,227,807
E01023271,Winchester 013B,,12.879,7,0.075,7,0.053,8,11.081,7,-0.895,9,-1.025,9,37.004,1,23.349,4,,,,,,,,,,,,,,,,,,,,,5,0.631,7133,3,1263,193,654,416,663
E01023272,Winchester 012E,,3.805,10,0.038,9,0.023,10,6.612,8,-1.376,10,-0.743,9,15.256,7,12.47,7,,,,,,,,,,,,,,,,,,,,,7,-0.031,15805,5,1240,207,700,333,694
E01023273,Winchester 012F,,4.177,10,0.039,9,0.029,10,2.415,10,-1.388,10,-0.926,9,18.565,6,17.067,6,,,,,,,,,,,,,,,,,,,,,4,-0.378,21681,7,1568,302,841,425,858
